Compound No.,SMILES,pIC50 (IC50 in microM),MW,logP,rotatable_bonds,TPSA,ring_count,heavy_atoms,HBA,HBD
1,FC1=CC(Cl)=C(CN2C(=O)C(=O)C3=CC(I)=CC=C23)C=C1,-0.973127854,415.589,3.813200000000002,2,37.38,3.0,21.0,2.0,0.0
2,CC1=NC(SCC(=O)NC2=CC=C(Cl)C=C2F)=NC(=C1)C(F)(F)F,-2.698970004,379.766,4.327120000000002,4,54.88,2.0,24.0,4.0,1.0
3,ClC1=CC(OC(=O)C2=CC3=C(OC2=O)C=CC=C3)=CN=C1,0.966576245,301.685,3.060600000000001,2,69.4,3.0,21.0,5.0,0.0
4,COC(=O)C1(C)CCCC2=C3C(=O)C(=O)C4=C(OC=C4C)C3=CC=C12,-1.324282455,338.35900000000004,3.4010200000000026,1,73.58000000000001,4.0,25.0,5.0,0.0
5,FC(F)(F)C1=CC=C(NC(=O)CSC2=NC(=CC=N2)C2=CC(=NO2)C2=CC=C(Cl)C=C2Cl)C=C1,-1.176091259,525.3390000000002,6.855000000000002,6,80.91000000000001,4.0,34.0,6.0,1.0
7,COC1=CC=CC(=C1)C1=C(C#N)C(=O)NC(SCC(=O)NC2=CC=C(C=C2)C(C)=O)=N1,-1.77815125,434.4770000000002,3.250580000000001,7,124.93999999999998,3.0,31.0,7.0,2.0
8,CC1CC(C)CN(C1)S(=O)(=O)C1=CC2=C(NC(=O)C2=O)C=C1,-0.633468456,322.3860000000001,1.488,2,83.55000000000001,3.0,22.0,4.0,1.0
9,ClC1=C2C(=O)C(=O)N(CC3=CC4=CC=CC=C4S3)C2=CC=C1,-1.049218023,327.79200000000003,4.284200000000002,2,37.38,4.0,22.0,3.0,0.0
10,CN1C(=O)C(=O)C2=C1C=CC(=C2)S(=O)(=O)N1CCOCC1,-0.996073654,310.33100000000013,-0.13339999999999996,2,83.99000000000001,3.0,21.0,5.0,0.0
11,O=C1N(CC2=CC=CC=C2)C2=C(C=C(C=C2)S(=O)(=O)N2CCOCC2)C1=O,-1.14176323,386.42900000000026,1.437,4,83.99000000000001,4.0,27.0,5.0,0.0
13,COC1=CC(CN2CCN(CC2)S(=O)(=O)C2=CC3=C(NC(=O)C3=O)C=C2)=CC(OC)=C1OC,-1.50623436,475.52300000000025,1.3537000000000001,7,114.48000000000002,4.0,33.0,8.0,1.0
14,CC1CCN(CC1)S(=O)(=O)C1=CC2=C(C=C1)N(CC1=CC=CC=C1)C(=O)C2=O,-0.017033339,398.48400000000015,2.8367000000000013,4,74.76,4.0,28.0,4.0,0.0
15,CSC1=NNC(NC(=O)C2=CC=CS2)=C1S(=O)(=O)C1=CC=C(Cl)C=C1,-1.176091259,413.9330000000001,3.931600000000002,5,91.91999999999999,3.0,25.0,6.0,2.0
16,ClC1=CC=C(C=C1)C1=CC=C(O1)C(=O)OC1=CN=CC(Cl)=C1,1.200659451,334.158,4.867600000000002,3,52.33,3.0,22.0,4.0,0.0
17,[O-][N+](=O)C1=CC(=CC=C1S(=O)(=O)C1=CC=C(Cl)C=C1)C(F)(F)F,-1.079181246,365.716,4.099800000000001,3,77.28,2.0,23.0,4.0,0.0
18,CCC(SC1=NC(C2=CC=CC(OC)=C2)=C(C#N)C(=O)N1)C(=O)NC1=CC=CC(=C1)C(C)=O,-1.77815125,462.5310000000002,4.029180000000002,8,124.94,3.0,33.0,7.0,2.0
19,NC1=NC=C(C(N)=N1)S(=O)(=O)C1=CC=C(Cl)C=C1,-0.77815125,284.728,1.1271999999999998,2,111.95999999999998,2.0,18.0,6.0,2.0
20,CSC1=C(C(C)=C(S1)C1=NC(C)=CS1)C1=CC=NC(SCC(=O)NC2=CC=C(Cl)C=C2)=N1,-1.041392685,519.1420000000002,7.051540000000005,7,67.77000000000001,4.0,32.0,8.0,1.0
21,COC1=CC=C(C=C1)C1=NC(SCC(=O)NC2=CC=C(C=C2)C(C)C)=NC=C1,-2.602059991,393.51200000000006,5.006400000000004,7,64.11,3.0,28.0,5.0,1.0
22,FC(F)(F)C1=CC=CC(NC(=O)CSC2=NC(C3=CC=CC=C3)=C(C#N)C(=O)N2)=C1,-2.301029996,430.4110000000001,4.058180000000002,5,98.63999999999999,3.0,30.0,5.0,2.0
23,CC1CC(C)CN(C1)S(=O)(=O)C1=CC=C2N(CC3=CC=C4C=CC=CC4=C3)C(=O)C(=O)C2=C1,-0.672097858,462.5710000000002,4.2359000000000036,4,74.76,5.0,33.0,4.0,0.0
26,CC1=CC(=O)NC(SCC(=O)NC2=C(OC3=CC=CC=C3)C=CC(Cl)=C2)=N1,-2.0,401.87500000000006,4.254820000000003,6,84.08,3.0,27.0,5.0,2.0
27,O=C1N(CC2=CC=C3C=CC=CC3=C2)C2=CC=C(C=C2C1=O)S(=O)(=O)N1CCN(CC1)C1=CC=CC=N1,-0.741939078,512.5910000000003,3.4752000000000027,5,90.89,6.0,37.0,6.0,0.0
28,ClC1=CC(OC(=O)C2=CC=NC=C2)=CN=C1,0.785156152,234.64200000000002,2.3491999999999997,2,52.08,2.0,16.0,4.0,0.0
29,CC1=C(Cl)C=C(Cl)C(=C1)S(=O)(=O)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,0.522878745,459.1850000000001,4.969820000000002,4,120.42000000000002,2.0,28.0,6.0,0.0
30,CC1CCN(CC1)S(=O)(=O)C1=CC=C2N(CC3=CC=C4C=CC=CC4=C3)C(=O)C(=O)C2=C1,-0.227886705,448.54400000000015,3.989900000000003,4,74.76,5.0,32.0,4.0,0.0
32,CC1=C(C(C)=C(C#N)C(=N1)S(=O)(=O)C1=CC=CC=C1)[N+]([O-])=O,-1.113943352,317.326,2.3111200000000007,3,113.96000000000001,2.0,22.0,6.0,0.0
33,ClC1=CC(CN2CCN(CC2)S(=O)(=O)C2=CC3=C(NC(=O)C3=O)C=C2)=CC=C1,-1.501196242,419.8900000000001,1.9813,4,86.78999999999999,4.0,28.0,5.0,1.0
34,COC1=C(OC)C=C(NC(=O)CSC2=NC(O)=CC(=N2)C2=CC=CC=C2)C=C1,-1.653212514,397.4560000000001,3.5972000000000017,7,93.57000000000001,3.0,28.0,7.0,2.0
35,CN1CCN(CC1)S(=O)(=O)C1=CC=C2N(CC3=CC=C4C=CC=CC4=C3)C(=O)C(=O)C2=C1,-1.918606915,449.53200000000015,2.5054,4,78.0,5.0,32.0,5.0,0.0
36,COC(OC)C1=CC(O)=NC(SCC(=O)NC2=CC=C(C=C2)C(F)(F)F)=N1,-2.301029996,403.38200000000006,3.223200000000001,7,93.57000000000001,2.0,27.0,7.0,2.0
38,[O-][N+](=O)C1=CC=C(C=C1)S(=O)(=O)C1=CC=C(C=C1)[N+]([O-])=O,-1.397940009,308.271,2.3358,4,120.42000000000002,2.0,21.0,6.0,0.0
39,CC(=O)C1=CC=CC=C1S(=O)(=O)C1=CC=CC=C1C(O)=O,-1.204119983,304.32300000000004,2.4202000000000004,4,88.50999999999999,2.0,21.0,4.0,1.0
40,CC1=NC(=CS1)C1=NC(=CS1)C1=NC(SCC(=O)NC2=CC=C(Cl)C=C2)=NC=C1,-1.146128036,460.0090000000002,5.416220000000003,6,80.66,4.0,29.0,8.0,1.0
41,CC1(C)CC2=C(SC(NCC3=CC=CO3)=C2C(=O)C1)C#N,-1.204119983,300.3830000000001,3.979980000000003,3,66.03,3.0,21.0,5.0,1.0
42,CC1=CC=C(C=C1)S(=O)(=O)C1=NC(C)=C(C(C)=C1C#N)[N+]([O-])=O,-1.113943352,331.35300000000007,2.6195400000000006,3,113.96000000000001,2.0,23.0,6.0,0.0
44,ClC1=CC=C(S1)C1=CSC(CS(=O)(=O)C2=CC=CS2)=N1,-1.255272505,361.922,4.560400000000001,4,47.03,3.0,20.0,6.0,0.0
45,OC(=O)C1=CC=C(C=C1)S(=O)(=O)C1=CC(Br)=C(O)C(Br)=C1,-1.204119983,436.077,3.448200000000001,3,91.67,2.0,21.0,4.0,2.0
46,FC1=CC=C2N(CC3=CC4=CC=CC=C4S3)C(=O)C(=O)C2=C1,-0.683047038,311.3370000000001,3.7699000000000016,2,37.38,4.0,22.0,3.0,0.0
47,ClC1=CC=C(NC(=O)C2=CC=C(CN3C(=O)C(=O)C4=CC(I)=CC=C34)S2)C=C1,-1.099335278,522.7510000000001,4.987900000000002,4,66.48,4.0,28.0,4.0,1.0
48,CN1CCN(CC1)S(=O)(=O)C1=CC2=C(C=C1)N(CC1=CC=CC=C1)C(=O)C2=O,-1.827369273,399.47200000000015,1.3521999999999992,4,78.0,4.0,28.0,5.0,0.0
49,CCCC1=CC(Cl)=NC(SCC(=O)NC2=CC=C(Cl)C=C2)=N1,-1.477121255,356.27799999999996,4.466700000000003,6,54.88,2.0,22.0,4.0,1.0
50,[O-][N+](=O)C1=C(C=CC=C1)C1=CC=C(O1)C(=O)OC1=CN=CC(Cl)=C1,0.681936665,344.71000000000004,4.122400000000002,4,95.47,3.0,24.0,6.0,0.0
51,O=C1N(CC2=CC3=CC=CC=C3S2)C2=CC=CC=C2C1=O,-1.117602692,293.34700000000004,3.6308000000000025,2,37.38,4.0,21.0,3.0,0.0
52,CC1=COC2=C1C(=O)C(=O)C1=C2C=CC2=C(C)C=CC=C12,-1.587710965,276.291,4.095640000000003,0,47.28,4.0,21.0,3.0,0.0
53,CC(C)C1=CC=C(NC(=O)CSC2=NC=CC(=N2)C2=CSC(COC3=C(Cl)C=CC=C3)=N2)C=C1,-2.301029996,511.0720000000002,6.686700000000005,9,77.0,4.0,34.0,7.0,1.0
54,CC1CCN(CC1)S(=O)(=O)C1=CC2=C(C=C1)N(C)C(=O)C2=O,-1.2509077,322.3860000000001,1.2663000000000002,2,74.76,3.0,22.0,4.0,0.0
55,[O-][N+](=O)C1=C[N+]([O-])=C(C=C1)S(=O)(=O)C1=CC=C(Cl)C=C1,-1.176091259,314.706,1.7144000000000001,3,104.22,2.0,20.0,5.0,0.0
56,[O-][N+](=O)C1=CC=CC(=C1)C(=O)OC1=CN=CC(Cl)=C1,0.164943898,278.65099999999995,2.862400000000001,3,82.33,2.0,19.0,5.0,0.0
57,[O-][N+](=O)C1=C2N(CC3=CC4=CC=CC=C4S3)C(=O)C(=O)C2=CC=C1,-0.301029996,338.3440000000001,3.5390000000000015,3,80.52000000000001,4.0,24.0,5.0,0.0
58,[O-][N+](=O)C1=C(C=CC=C1)C(=O)OC1=CN=CC(Cl)=C1,0.477555766,278.65099999999995,2.862400000000001,3,82.33,2.0,19.0,5.0,0.0
60,CCOC(=O)C1=CN=C(SCC(=O)NC2=CC=C(C=C2)[N+]([O-])=O)N=C1N,-2.397940009,377.3820000000001,1.8744999999999998,7,150.34,2.0,26.0,9.0,2.0
61,COC1=CC(=CC=C1)C1=C(C#N)C(=O)NC(SCC(=O)NC2=CC=C(C=C2)S(N)(=O)=O)=N1,-1.602059991,471.5200000000002,1.6953799999999997,7,168.02999999999997,3.0,32.0,8.0,3.0
62,ClC1=CC(NC(=O)CSC2=NC=CC(=N2)C2=CSC(=N2)C2=CC=CC=C2)=CC(Cl)=C1,-0.477121255,473.4100000000001,6.304700000000003,6,67.77000000000001,4.0,30.0,6.0,1.0
63,O=C(CC1=NCCS1)C1=NC=CS1,-1.602059991,212.29900000000004,1.8612,3,42.32,2.0,13.0,5.0,0.0
64,CN1C(=O)C(=O)C2=C1C=CC(=C2)S(=O)(=O)N1CCN(C)CC1,-1.072984745,323.37400000000014,-0.21819999999999928,2,78.0,3.0,22.0,5.0,0.0
65,O=C1NC2=C(C=C(C=C2)S(=O)(=O)N2CCN(CC2)C2=CC=CC=N2)C1=O,-1.710371264,372.40600000000006,0.7272999999999996,3,99.68,4.0,26.0,6.0,1.0
66,O=C1N(CC2=CC=C3C=CC=CC3=C2)C2=CC=C(C=C2C1=O)S(=O)(=O)N1CCOCC1,-1.600646236,436.4890000000003,2.590200000000001,4,83.99000000000001,5.0,31.0,5.0,0.0
67,CCCCC1=CC=C(NC(=O)CSC2=NC(C3CCCCC3)=C(C#N)C(=O)N2)C(C)=C1,-2.301029996,438.5970000000003,5.071100000000004,8,98.63999999999999,3.0,31.0,5.0,2.0
68,CC1CC(C)CN(C1)S(=O)(=O)C1=CC2=C(C=C1)N(CC1=CC=CC=C1)C(=O)C2=O,-0.450249108,412.5110000000002,3.0827000000000018,4,74.76,4.0,29.0,4.0,0.0
69,CC(C)(C)C1=CC=C(NC(=O)CSC2=NC(C3CCCCC3)=C(C#N)C(=O)N2)C=C1,-2.544068044,424.5700000000003,4.717580000000003,5,98.63999999999999,3.0,30.0,5.0,2.0
71,FC(F)(F)C1=NN=C(N1)SC(=O)C1=CC=C(O1)C#CC1=CC=CC=C1,-0.477121255,363.3200000000001,3.748800000000002,2,71.78,3.0,25.0,5.0,1.0
72,O=C1NC2=C(C=C(C=C2)S(=O)(=O)N2CCOCC2)C1=O,-1.102433706,296.304,-0.15770000000000017,2,92.78,3.0,20.0,5.0,1.0
73,CC(C)C1=CC2=CC=C3C(CCCC3(C)C)=C2C(=O)C1=O,-1.324282455,282.3829999999999,4.105300000000003,1,34.14,3.0,21.0,2.0,0.0
74,CN1N=C(C)C(=C1NCC1=CC=C(S1)C1=CC=CS1)[N+]([O-])=O,-1.301029996,334.42600000000004,4.038820000000003,5,72.99000000000001,3.0,22.0,7.0,1.0
75,IC1=CC=C2N(CC3=CC4=CC=CC=C4S3)C(=O)C(=O)C2=C1,0.022276395,419.24300000000017,4.235400000000002,2,37.38,4.0,22.0,3.0,0.0
76,O=C1N(CC2=CC=C3C=CC=CC3=C2)C2=CC=C(C=C2C1=O)S(=O)(=O)N1CCN(CCC2=CC=CC=C2)CC1,-1.14176323,539.6570000000003,4.118300000000004,7,78.0,6.0,39.0,5.0,0.0
77,[O-][N+](=O)C1=CC=CC(=C1)C1=CC=C(O1)C(=O)OC1=CN=CC(Cl)=C1,0.301029996,344.71000000000004,4.122400000000002,4,95.47,3.0,24.0,6.0,0.0
78,ClC1=CC(OC(=O)C2=CN=CC=C2)=CN=C1,0.156767222,234.64200000000002,2.3491999999999997,2,52.08,2.0,16.0,4.0,0.0
79,CC1COC2=C1C(=O)C(=O)C1=C2C=CC2=C(C)C=CC=C12,-1.158362492,278.307,3.2910200000000023,0,43.370000000000005,4.0,21.0,3.0,0.0
81,CCOC1=CC=C(C=C1)N1C(=O)CC(SC2=NC(C)=CC(C)=N2)C1=O,-2.477121255,357.4350000000001,2.916340000000001,5,72.39,3.0,25.0,6.0,0.0
82,BrC1=C2N(CC3=CC4=CC=CC=C4S3)C(=O)C(=O)C2=CC=C1,0.008773924,372.2430000000001,4.393300000000002,2,37.38,4.0,22.0,3.0,0.0
83,CSC1=NN(C2=C(C(C)=NN2C)[N+]([O-])=O)C(C2=CC=CS2)=C1C#N,-1.255272505,360.42400000000004,3.1445000000000016,4,102.57,3.0,24.0,9.0,0.0
84,CC1COC2=C1C(=O)C(=O)C1=C3CCCC(C)(C)C3=CC=C21,-2.35545152,296.366,3.4433000000000025,0,43.370000000000005,4.0,22.0,3.0,0.0
85,IC1=CC=C2N(CC3=CC=C(S3)C(=O)N3CCCCC3)C(=O)C(=O)C2=C1,-1.243038049,480.3270000000004,3.708300000000002,3,57.690000000000005,4.0,26.0,4.0,0.0
86,CC1=C(CN2C(=O)C(=O)C3=CC(=CC=C23)C#N)C(C)=NO1,-0.857332496,281.271,1.89262,2,87.2,3.0,21.0,5.0,0.0
87,CN1N=C(C=C1C1=CC=C(S1)C(=O)NC1=C(C(C)=NO1)[N+]([O-])=O)C(F)(F)F,-0.698970004,401.326,3.6243200000000018,4,116.09,3.0,27.0,8.0,1.0
88,CN1N=C(C=C1C(F)(F)F)C1=CC=C(S1)C1=CC=NC(SCC(=O)NC2=CC=C(Cl)C=C2)=N1,-1.0,509.9660000000002,6.008600000000003,6,72.7,4.0,33.0,7.0,1.0
89,CC1=COC2=C1C(=O)C(=O)C1=C3CCCC(C)(CO)C3=CC=C21,-1.394451681,310.349,3.2203200000000027,1,67.51,4.0,23.0,4.0,1.0
90,O=C(N1CCN(CC1)S(=O)(=O)C1=CC2=C(NC(=O)C2=O)C=C1)C1=CC=CO1,-1.003029471,389.3890000000001,0.5610999999999988,3,116.99999999999999,4.0,27.0,6.0,1.0
91,ClC1=CC=C(NC(=O)CSC2=NC=CC(=N2)C2=CC(=NO2)C2=CC=CC=C2)C=C1,-1.176091259,422.8970000000001,5.182800000000003,6,80.91000000000001,4.0,29.0,6.0,1.0
92,CC1CCN(CC1)S(=O)(=O)C1=CC2=C(NC(=O)C2=O)C=C1,-0.071882007,308.35900000000004,1.242,2,83.55000000000001,3.0,21.0,4.0,1.0
93,O=C1NC2=C(C=C(C=C2)S(=O)(=O)N2CCN(CCC3=CC=CC=C3)CC2)C1=O,-1.542949849,399.47200000000015,1.3703999999999996,5,86.78999999999999,4.0,28.0,5.0,1.0
94,ClC1=CC=C(NC(=O)CSC2=NC=CC(=N2)C2=CC(=NO2)C2=C(Cl)C=CC=C2)C=C1,-1.176091259,457.3420000000001,5.8362000000000025,6,80.91000000000001,4.0,30.0,6.0,1.0
